temperature,humidity,rainfall,ph,nitrogen,phosphorus,potassium,water_level,area,district,soil_type,season,fertilizer,pesticide,expected_yield
27.9926419015578,93.02857225639664,1478.3927301736862,6.697316968394073,54.041677639819284,29.35967122017216,24.06585285177396,6.80892009394567,8.728673384861883,Madurai,Sandy Loam,Navarai,Neem Cake,Bacillus thuringiensis,122.99
24.93447215765494,67.1696897183815,1229.7077179586854,6.363890037284231,66.21062261782377,56.71117368334277,29.76457024564293,4.930894746349534,3.2753741610845726,Namakkal,Red Soil,Samba,DAP,Fipronil,97.09
29.297119747472575,86.40703845572054,839.6085385900317,6.528468876827223,93.31731119758382,22.787024763199863,62.528139633100686,2.520412743882236,2.1199791750292696,Krishnagiri,Black Soil,Kuruvai,Ammonium Sulphate,Spinosad,92.81
23.562753824102142,82.36932106048627,1128.1829924875215,5.744076469689558,84.56592191001431,22.063311266913104,83.65242814551475,7.300178274831856,2.9584098252001607,Mayiladuthurai,Black Soil,Samba,Ammonium Sulphate,Biopesticide,116.48
26.987377217430577,75.80272084711243,1256.0523352119355,5.869708911051054,127.26261649881027,66.50796940166687,85.76492590949324,6.783199830488681,9.000859829062664,Perambalur,Red Soil,Samba,Single Super Phosphate,Imidacloprid,124.93
26.341584508382333,88.14950036607718,1028.1039920323071,6.061869019374761,88.84264748424236,28.45545349848576,76.15378865278278,9.895095492804138,1.2082311149578229,Pudukkottai,Sandy Loam,Kuruvai,DAP,Fipronil,96.75
34.355916308746515,62.948627261366894,606.6265405483229,7.1309228569096685,103.61716094628554,63.74043008245924,73.9889242680162,4.867725828354181,1.2034241914738584,Kallakurichi,Black Soil,Kuruvai,Micronutrient Mix,Biopesticide,95.0
23.01693360457638,67.4392928686265,990.2199864320964,6.959212356676128,97.38017242196918,73.23276455457959,53.055044761336454,7.70595829778396,1.636145336413866,Chennai,Red Soil,Navarai,Potash,Carbaryl,92.02
34.17256077787036,77.45108790277985,1525.1606159454732,6.4875911927287815,87.04595464437946,45.652461101512976,21.77933887208666,2.251433485493874,1.5249685564363924,Namakkal,Sandy Loam,Navarai,Farmyard Manure,Spinosad,90.17
30.137131058635244,91.30265895704372,899.1506749786499,6.320765846071259,107.99960246887439,33.72788992949735,25.38859368801551,3.2897702980320354,3.252638802680796,Kanchipuram,Red Soil,Samba,Ammonium Sulphate,Biopesticide,100.76
36.875162437481166,87.32481518257669,1360.084507812508,7.242921180375435,112.33048692092031,31.194203533162153,82.47912989429844,8.459521241312501,5.623751298198682,Virudhunagar,Loamy,Samba,Urea,Azadirachtin,150.54
23.760830792442828,64.11740650167766,1112.5293463515077,7.1360295318449865,117.46575249307091,20.417127831871444,55.7523111804296,3.776862483765842,4.465404529913401,Tirunelveli,Sandy,Samba,Urea,Azadirachtin,91.87
23.917845877338927,68.50460685614512,1731.491644695023,6.14640586404151,86.69115595690295,62.18113753371067,45.454072166550574,9.69957835953689,9.731929785849127,Ramanathapuram,Clay Loam,Samba,Neem Cake,Azadirachtin,169.96
26.814052957068313,66.3936197750987,644.2643368254394,6.719128667959794,85.24111209059754,23.08872507499936,39.505252496562804,3.9164951253357794,9.128525916683211,Madurai,Sandy Loam,Kuruvai,DAP,Beauveria bassiana,101.84
24.31831795345957,74.57811041110253,1782.7805449327209,5.984110543023001,100.49219926652907,65.69717691972306,36.63462807946797,4.942265061754026,7.418055311812666,Thanjavur,Clay Loam,Kuruvai,NPK,Fipronil,145.68
30.572394945196137,58.61159080217633,1602.3629947070856,6.141560129943471,56.78666593598688,22.446508493285833,61.36250602317693,2.132702631422849,6.936861437501683,Tiruvallur,Sandy,Navarai,Neem Cake,Emamectin Benzoate,89.63
30.193488932788497,64.05983100791752,1374.2073484913399,5.848732858009983,102.18439642922193,43.20412077803225,85.57109921157142,4.728530808402068,1.8064489693869359,Pudukkottai,Laterite Soil,Kuruvai,Organic Compost,Neem Oil,91.18
32.55974473654686,87.68888800804864,1266.240973919355,6.559301156712013,61.76670618104065,25.586166068353954,82.80510305673288,7.0648116581861435,9.05397154305164,Chennai,Alluvial Soil,Navarai,DAP,Bacillus thuringiensis,143.75
27.424476656779213,68.96838298450643,1471.1468146442871,7.294220519905155,119.83777818386056,66.79253275145743,64.94221523080014,3.29302971275691,1.299329667452964,Tirupathur,Red Soil,Samba,Potash,Biopesticide,105.77
22.147152825866073,59.05886171464128,1396.202122929667,5.510123167692438,54.47272462757488,52.924027361995165,68.43266383848854,3.7941544756844783,6.693631965274705,Erode,Black Soil,Navarai,Micronutrient Mix,Azadirachtin,108.43
33.39486754156057,64.489963499872,990.4796377911213,6.9929828102360485,98.46696091424931,70.95340462965068,66.03290246102404,2.74939814262474,5.8989317316869805,Perambalur,Clay Loam,Samba,DAP,Neem Oil,126.02
25.903834294065337,93.92042219009782,1071.7172696001126,7.284093110354227,96.80247633975367,67.6886782124989,55.184596517363445,5.940141550550911,5.980586903950411,Viluppuram,Clay,Kuruvai,DAP,Imidacloprid,128.64
25.123887804768714,83.89808461046022,936.9268349290269,5.548631932862907,98.09250663164511,30.626640764422937,85.832100904704,9.318915121763588,9.562321481524581,Ariyalur,Loamy,Samba,Vermicompost,Emamectin Benzoate,169.63
37.46647710469871,93.54479908357011,1623.611346560832,6.088897784139172,74.65879557417327,71.06820029101141,42.18454036093944,6.454410099666801,2.1101810935178786,Tiruchirappalli,Clay,Samba,Farmyard Manure,Beauveria bassiana,140.54
36.978476386572495,82.84119186699891,1284.0734041072378,5.694352987541537,95.35065040292528,79.4032310062558,29.80588106655668,9.018984575423644,5.424131697455499,Tiruchirappalli,Clay,Samba,Micronutrient Mix,Imidacloprid,154.13
33.23974534379375,69.3796460487902,952.3102131173921,7.118722310957027,112.91020552112627,72.02433911480622,83.92683867895299,6.012130357497597,5.357752789178909,Viluppuram,Clay,Kuruvai,Farmyard Manure,Imidacloprid,129.24
34.7727228634684,80.99855723111061,1442.360252709244,7.091585338872202,120.10048076358096,40.27970941109215,46.29080668479608,6.626241127969392,1.3928284284882555,Tiruvallur,Black Soil,Kuruvai,Urea,Bacillus thuringiensis,114.06
30.682314155321226,66.46165008513138,1308.999912682813,5.561000499878099,43.3613369874293,69.3560336395795,45.21334489878841,6.177946080438435,1.7070748701929055,Chennai,Alluvial Soil,Navarai,Ammonium Sulphate,Spinosad,101.78
34.31989684957777,63.63284109987373,1347.4685709828004,5.670694929987536,44.65135490517469,51.88127789408888,57.844458512707455,7.808730669781292,6.555584064232963,Nilgiris,Sandy Loam,Navarai,DAP,Beauveria bassiana,108.47
