days,temperature,soil_moisture,water_level,expected_growth
107,31.948144802903492,39.17173949330819,40.08609501227462,76.42
91,20.871254182522993,73.30880728874675,32.0501755284444,75.97
28,29.763327094232793,32.82057895135501,37.48994475200711,47.48
46,20.699984948204232,78.68777594207296,15.474710319363691,53.8
66,31.777639420895206,39.98368910791799,28.140549728612523,61.65
55,30.204613078816696,52.524962598477146,5.596923252193994,57.61
93,34.484480496118394,70.41986740582306,18.70761961280168,81.13
115,30.248952782381874,60.49983288913104,42.4937710281274,84.68
39,33.639806031181735,42.93899908000085,34.81350279592919,56.94
110,28.51550491729987,31.56566462277793,42.90281485677493,71.72
48,34.09248412346284,74.74136752138244,31.905499046498832,65.53
86,28.095381985836198,59.33755828319241,48.43648882688621,71.51
64,28.14044124737373,37.04621124873813,41.098864133931784,58.98
92,20.211197340726265,39.94212020444026,37.01038787368925,65.13
39,31.569055200289185,33.70223258670452,21.130957784492267,47.48
52,25.562273782973996,63.44206263318036,34.96650604778735,61.95
48,29.563362070328196,74.36063712881634,26.24967163228772,63.7
5,30.8259428174731,41.79924598744779,16.523074524259577,38.05
31,27.840992440729913,51.37705091792748,6.143860703484283,44.05
100,30.43274129639191,36.96657272029378,32.198782067501774,75.5
19,31.33326707814573,41.43990827458112,8.464095942295685,41.73
70,29.3653107220069,44.781684291885696,9.747241692362177,59.65
32,32.05508115348672,39.32850294430179,45.165154932049,56.19
96,25.344467571154624,75.3414220772877,17.24595122230859,75.65
31,26.406616829393844,70.90073829612466,43.732876246535454,56.27
13,27.272449570384747,64.62180164451351,17.123555020933466,44.62
28,34.14364555868779,46.160146601037766,28.345577978451473,51.02
117,23.80873120901517,42.34380314193006,36.333692277790476,78.84
7,24.513174647251546,44.24202471887338,6.659912630953976,34.24
58,20.495760993508227,47.25356240133415,33.54581051156137,58.47
6,27.964018749757045,52.38915822865458,29.880189008209758,40.53
60,23.564563159885996,66.41081743059297,21.550240972366396,60.02
102,29.50294566141342,56.788734203737924,9.063039652448374,73.87
74,30.43719210186323,72.917940240686,19.66815073408481,73.28
40,20.248817433917843,55.60465291496405,15.192309883907209,44.25
37,25.963580316312836,55.887567526374006,42.69695476582976,55.04
15,25.115995265753877,35.67367606202946,46.61121282253532,40.54
20,32.25833300301824,57.760040579973115,28.83427602602029,52.68
6,34.94380549636887,78.27096756443967,30.123205412319393,53.85
109,25.238143619189913,66.29778394351197,45.36996169786597,82.08
28,26.06762190683285,74.38850493804799,43.29178019453807,57.45
116,21.522073142990482,63.17508845540279,5.227771273079841,77.97
114,28.231006840498793,64.59475988463467,34.338256677617025,85.25
37,27.40840572775152,38.94113546106644,21.491095306228697,45.93
12,32.738351157412666,62.88064461501717,30.573887150096223,50.21
